the_geom,cartodb_id,the_geom_webmercator,objectid,verror,mapsource,sourcedate,editdate,mapmethod,quadname,unitname,herror,county,state,x_coord,y_coord,lat,lon,watershed,streamname,elevation,year,notes,coord_units,coord_system,datum,utm_zone,managementzone,parkdistrict,editby,createby,createdate,unitcode,restriction,veg_class,landform,loc_name,loc_id,trail,road,valid_result,genus_speciesmaxent,genus_speciesirma,grsm_speciesid,commonname,taxagroup,subjectcategory,dateretrieved,kingdom,subkingdom,phylum,subphylum,class,subclass,superdivision,division,subdivision,superorder,ordername,series,suborder,infraorder,superfamily,family,subfamily,tribe,collectionmethod,specimentype,dateprecision,identificationprecision,project
0101000020E610000089ACD5218EEE54C0F1A9BF0569BC4140,4029,0101000020110F0000C90356CA05C761C1F27FAC161B215041,3403,>1m <=5m,ATBI DATABASE,,1446825403000,DERV,TUSKEEGEE,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,252525,3928802,35.471948,-83.727421,Hazel Creek,Hazel Creek,1801.020264,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446825403000,GRSM,UNR,,5,,,Hazel Creek Trail,Lakeview Drive West,Valid,Polygonia_comma,Polygonia  comma,32084,Comma,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1276128000000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Lepidoptera, ,Ditrysia, ,Papilionoidea,Nymphalidae,Nymphalinae,~,aerial net,No,day,cert,Tremont Expeditions
0101000020E6100000650D21BE1EE554C0D4E101A2B6D34140,4038,0101000020110F000010D03A6602BF61C17AFB7A6A6F395041,3411,>1m <=5m,ATBI DATABASE,,1446825407000,DERV,GATLINBURG,Great Smoky Mountains National Park,>1m <=5m,Sevier,Tennessee,266434,3948640,35.654004,-83.579997,Little River-Goshen Prong,Bearwallow Branch,2172.555908,,,dd,GCS,NAD83,17,,Little River District,TPCOLSON,TPCOLSON,1446825407000,GRSM,UNR,,10,,,Little River Trail,Little River Road,Valid,Polygonia_comma,Polygonia  comma,32084,Comma,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-990921600000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Lepidoptera, ,Ditrysia, ,Papilionoidea,Nymphalidae,Nymphalinae,~,unspecified, ,day,cert,ATBI Lepidoptera TWIG
0101000020E61000006109CC8CDCE654C043B76DD8A9D24140,4036,0101000020110F0000C26E0B067DC061C1FE56987C56385041,3409,>1m <=5m,ATBI DATABASE,,1446825406000,DERV,GATLINBURG,Great Smoky Mountains National Park,>1m <=5m,Sevier,Tennessee,263946,3947795,35.645801,-83.607207,Little River-Goshen Prong,Kiver Branch,2606.37085,,,dd,GCS,NAD83,17,,Cades Cove District,TPCOLSON,TPCOLSON,1446825406000,GRSM,UNR,,1,,,Meigs Mountain Trail,Little River Gorge Road,Valid,Polygonia_comma,Polygonia  comma,32084,Comma,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-1055116800000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Lepidoptera, ,Ditrysia, ,Papilionoidea,Nymphalidae,Nymphalinae,~,unspecified, , ,cert,ATBI Lepidoptera TWiG
0101000020E6100000828A12435EE254C094F8E1C2EFD74140,4043,0101000020110F0000F6F56A15ACBC61C161465BACD93D5041,3416,>1m <=5m,ATBI DATABASE,,1446825410000,DERV,GATLINBURG,Great Smoky Mountains National Park,>1m <=5m,Sevier,Tennessee,270422,3952199,35.686998,-83.536999,West Prong Little Pigeon River Upper,Ash Hopper Branch,1461.809082,,,dd,GCS,NAD83,17,,Little River District,TPCOLSON,TPCOLSON,1446825410000,GRSM,UNR,,6,,,Fighting Creek Nature Trail,Sugarlands Headquarters Parking A,Valid,Polygonia_comma,Polygonia  comma,32084,Comma,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-1018051200000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Lepidoptera, ,Ditrysia, ,Papilionoidea,Nymphalidae,Nymphalinae,~,unspecified, ,day,cert,ATBI Lepidoptera TWIG
0101000020E610000057909ED678E154C02CCD846BDDD44140,4049,0101000020110F0000744FED3BE9BB61C1D1EF748DA33A5041,3422,>1m <=5m,ATBI DATABASE,,1446825413000,DERV,GATLINBURG,Great Smoky Mountains National Park,>1m <=5m,Sevier,Tennessee,271621,3949504,35.663,-83.522996,West Prong Little Pigeon River Upper,,1784.488037,,,dd,GCS,NAD83,17,,Little River District,TPCOLSON,TPCOLSON,1446825413000,GRSM,UNR,,1,,,Riverview Quiet Walkway,Newfound Gap Road North,Valid,Polygonia_comma,Polygonia  comma,32084,Comma,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-1001116800000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Lepidoptera, ,Ditrysia, ,Papilionoidea,Nymphalidae,Nymphalinae,~,unspecified, , ,cert,ATBI Lepidoptera TWiG
0101000020E61000002CE26C2185E354C03AA2874954C34140,4041,0101000020110F00004D450084A6BD61C1A477A0E152285041,3414,>1m <=5m,ATBI DATABASE,,1446825409000,DERV,SILERS BALD,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,268329,3934380,35.526003,-83.554997,Forney Creek,Jonas Creek,2753.42334,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446825409000,GRSM,UNR,,3,,,Jonas Creek Trail,Clingmans Dome Road Parking #3,Valid,Polygonia_comma,Polygonia  comma,32084,Comma,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-1088899200000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Lepidoptera, ,Ditrysia, ,Papilionoidea,Nymphalidae,Nymphalinae,~,unspecified, , ,cert,ATBI Lepidoptera TWiG
0101000020E6100000B6072E4AE1EA54C0FD8D47C71ACF4140,4033,0101000020110F000002798DBBE6C361C1E56A9C7A9E345041,3407,>1m <=5m,ATBI DATABASE,,1446825405000,DERV,THUNDERHEAD MOUNTAIN,Great Smoky Mountains National Park,>1m <=5m,Blount,Tennessee,258176,3944863,35.617998,-83.669996,Little River-Crooked Creek,Middle Prong Little River,1892.332397,,,dd,GCS,NAD83,17,,Cades Cove District,TPCOLSON,TPCOLSON,1446825405000,GRSM,UNR,,3,,,Middle Prong Trail,Upper Tremont Road,Valid,Polygonia_comma,Polygonia  comma,32084,Comma,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,987206400000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Lepidoptera, ,Ditrysia, ,Papilionoidea,Nymphalidae,Nymphalinae,~,unspecified, , ,cert,ATBI Lepidoptera TWiG
0101000020E6100000234F2F84BEEF54C02BFF6D6535CE4140,4026,0101000020110F000024FDCF4D08C861C1FC5352D7AE335041,3400,>1m <=5m,ATBI DATABASE,,1446825401000,DERV,THUNDERHEAD MOUNTAIN,Great Smoky Mountains National Park,>1m <=5m,Blount,Tennessee,251269,3944276,35.610998,-83.745999,Little River-Crooked Creek,Laurel Creek,1729.094238,,,dd,GCS,NAD83,17,,Cades Cove District,TPCOLSON,TPCOLSON,1446825401000,GRSM,UNR,,10,,,Turkeypen Ridge Trail,Laurel Creek Road,Valid,Polygonia_comma,Polygonia  comma,32084,Comma,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-971308800000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Lepidoptera, ,Ditrysia, ,Papilionoidea,Nymphalidae,Nymphalinae,~,unspecified, ,day,cert,ATBI Lepidoptera TWIG
0101000020E6100000B35F51F3D0F154C0BDA8496F86CD4140,4024,0101000020110F0000ACB243CDCAC961C1AE6E3B12F8325041,3398,>1m <=5m,ATBI DATABASE,,1446825400000,DERV,CADES COVE,Great Smoky Mountains National Park,>1m <=5m,Blount,Tennessee,248319,3943766,35.605658,-83.778374,Abrams Creek Upper,Abrams Creek,1883.582397,,,dd,GCS,NAD83,17,,Cades Cove District,TPCOLSON,TPCOLSON,1446825400000,GRSM,UNR,,6,,,Cades Cove Horse Trail,Cades Cove Stable Parking,Valid,Polygonia_comma,Polygonia  comma,32084,Comma,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-1055462400000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Lepidoptera, ,Ditrysia, ,Papilionoidea,Nymphalidae,Nymphalinae,~,unspecified, , ,cert,ATBI Lepidoptera TWiG
0101000020E61000008ED0098095F354C0222BC2C414CE4140,4023,0101000020110F0000A72F04274BCB61C19EFFA3C18C335041,3397,>1m <=5m,ATBI DATABASE,,1446825400000,DERV,CADES COVE,Great Smoky Mountains National Park,>1m <=5m,Blount,Tennessee,245830,3944319,35.610002,-83.805996,Abrams Creek Upper,Feezell Branch,1978.121826,,,dd,GCS,NAD83,17,,Cades Cove District,TPCOLSON,TPCOLSON,1446825400000,GRSM,UNR,,8,,,Rich Mountain Loop Trail,Cades Cove Loop Road,Valid,Polygonia_comma,Polygonia  comma,32084,Comma,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-1098489600000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Lepidoptera, ,Ditrysia, ,Papilionoidea,Nymphalidae,Nymphalinae,~,unspecified, , ,cert,ATBI Lepidoptera TWiG
0101000020E6100000F6712D8D91F554C022E5C4AA43CB4140,4022,0101000020110F00007F94FBA3FACC61C12D817E8F9B305041,3396,>1m <=5m,ATBI DATABASE,,1446825399000,DERV,CADES COVE,Great Smoky Mountains National Park,>1m <=5m,Blount,Tennessee,242950,3941958,35.587996,-83.837005,Abrams Creek Upper,,1777.705566,,,dd,GCS,NAD83,17,,Cades Cove District,TPCOLSON,TPCOLSON,1446825399000,GRSM,UNR,,6,,,Elijah Oliver Cabin Access Trail,Cades Cove Loop Road,Valid,Polygonia_comma,Polygonia  comma,32084,Comma,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-814147200000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Lepidoptera, ,Ditrysia, ,Papilionoidea,Nymphalidae,Nymphalinae,~,unspecified, ,day,cert,ATBI Lepidoptera TWIG
0101000020E61000001A779F5080F754C0E3E9F4474EC24140,4020,0101000020110F000009B7E3D79ECE61C1A0C70D7A41275041,3394,>1m <=5m,ATBI DATABASE,,1446825398000,DERV,CADES COVE,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,239987,3934272,35.518007,-83.867203,Lake Cheoah-Little Tennessee River,,4709.780762,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446825398000,GRSM,UNR,,6,,,Gregory Bald Trail,Parson Branch Road (closed Winter),Valid,Polygonia_comma,Polygonia  comma,32084,Comma,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-465436800000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Lepidoptera, ,Ditrysia, ,Papilionoidea,Nymphalidae,Nymphalinae,~,unspecified, , ,cert,ATBI Lepidoptera TWiG
